,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph
187,0.39899999,BFA,SubSaharian,1095.96,16.5,65.80000305175781,4.6399999,19.1,4.960263252258301
67,0.86500001,GRC,WesternDem,25295.27,10.92700004577637,4.099999904632568,7.5300002,43.400002,8.084266662597656
33,0.764,LKA,SouthAsia,5466.8701,20.54100036621094,8.300000190734863,2.3699999,14.1,3.503350019454956
168,0.93800002,CHE,WesternDem,50454.41,8.140000343322754,3.700000047683716,9.6099997,24.1,11.65926837921143
74,0.83399999,HUN,EastEurope,18310.811,9.876999855041504,5.300000190734863,10.88,29.6,7.400781154632568
30,0.91900003,CAN,WesternDem,36577.078,35.49599838256836,4.699999809265137,8.1000004,16.200001,10.44958209991455
23,0.86400002,BRN,SouthEastAsia,46103.84,0.4120000004768372,5.599999904632568,0.97000003,16.4,2.648162841796875
170,0.625,TJK,EastEurope,3592.6499,8.131999969482422,49.0,0.31999999,,6.880884170532227
178,0.68800002,TKM,EastEurope,13217.39,,,2.9000001,,2.067386150360107
171,0.73799998,THA,SouthEastAsia,9295.5703,68.65699768066406,11.39999961853027,6.4099998,21.5,4.122164249420166
17,0.671,BOL,LatAm,4023.8701,10.07800006866455,32.79999923706055,3.6199999,,6.334827423095703
0,0.479,AFG,SouthAsia,1282.64,29.82500076293945,,0.0099999998,,8.182273864746094
172,0.484,TGO,SubSaharian,1036.28,6.928999900817871,,1.4400001,,5.24687671661377
